Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q1,Q2,Q3,Q4,Q5,Q6
Masculino,21-29,PGC,Sim,0,0,1,1,0,0
Masculino,40-49,PGC,Nao,0,0,0,0,0,0
Masculino,21-29,SC,Sim,0,1,1,0,0,1
Masculino,21-29,SC,Sim,0,1,1,0,0,0
Masculino,18-20,SI,Sim,0,1,1,0,0,0
Masculino,18-20,EMI,Sim,0,1,0,0,1,0
Masculino,50-59,SC,Nao,0,0,0,0,0,0
Masculino,21-29,SC,Sim,0,0,0,0,1,0
Masculino,21-29,PGC,Sim,0,1,1,1,0,1
Masculino,21-29,SC,Sim,0,0,0,0,1,0
Masculino,30-39,SC,Sim,0,0,1,0,1,1
Masculino,50-59,SC,Nao,0,0,0,0,0,0
Masculino,18-20,SI,Sim,0,1,1,0,0,0
Masculino,21-29,SI,Sim,1,0,1,0,1,1
Masculino,18-20,EMC,Nao,1,1,1,0,1,1
Masculino,21-29,SI,Sim,0,0,1,0,1,0
Masculino,18-20,EMC,Sim,0,0,1,0,1,0
Masculino,21-29,SI,Nao,0,0,1,1,1,0
Masculino,21-29,SC,Nao,0,0,0,0,1,0
Masculino,18-20,SI,Sim,0,1,0,0,1,0
Masculino,40-49,SC,Sim,0,0,1,0,1,0
Masculino,18-20,EMC,Sim,0,1,1,0,1,0
Masculino,18-20,EMC,Nao,0,0,0,1,1,0
Masculino,50-59,PGC,Nao,0,0,0,0,0,0
Masculino,40-49,PGC,Nao,0,0,0,0,0,0
Masculino,40-49,PGC,Nao,0,0,0,0,0,0
Masculino,30-39,PGC,Nao,0,0,0,0,1,1
Masculino,21-29,SC,Sim,0,1,1,0,1,0
Masculino,21-29,SI,Sim,0,0,0,0,1,1
Masculino,21-29,SI,Sim,0,0,1,0,1,0
Masculino,21-29,SI,Sim,0,1,1,0,1,0
Masculino,21-29,SC,Sim,1,1,1,1,1,0
Masculino,21-29,SC,Nao,0,1,1,0,0,0
Masculino,21-29,SC,Nao,0,0,1,0,1,1
