Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Feminino,21-29,SC,Sim,4.0,2.0,3,4,2,3,4,2,2,3,5,4,4,4,4,3,2,4,2,3
Masculino,21-29,PGC,Sim,2.0,4.0,2,2,1,2,2,4,4,4,2,2,2,2,4,3,2,3,4,3
Feminino,50-59,PGC,Sim,5.0,4.0,4,3,2,2,3,2,4,3,3,2,2,2,4,3,3,2,2,2
Feminino,21-29,SC,Sim,4.0,3.0,4,4,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3
Feminino,21-29,SI,Sim,4.0,3.0,4,4,3,4,3,3,4,3,2,3,3,4,4,4,3,3,4,4
Masculino,21-29,SC,Sim,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Feminino,18-20,EMC,Sim,2.0,4.0,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4
Feminino,21-29,SI,Sim,4.0,4.0,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4
Feminino,21-29,SI,Sim,4.0,4.0,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4
Feminino,21-29,SC,Sim,4.0,3.0,3,2,2,2,2,3,3,3,2,1,3,3,4,3,3,2,3,2
Masculino,21-29,SC,Sim,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Feminino,21-29,SI,Sim,2.0,2.0,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,18-20,SI,Sim,4.0,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3
Masculino,18-20,EMI,Sim,5.0,,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
Feminino,30-39,PGC,Sim,3.0,3.0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SC,Sim,5.0,5.0,5,5,5,4,4,5,5,5,5,5,1,5,5,5,3,5,5,3
Masculino,21-29,PGC,Sim,3.0,3.0,3,3,2,3,2,2,3,4,3,3,3,2,3,3,1,2,2,2
Masculino,21-29,SC,Sim,5.0,4.0,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4
Masculino,30-39,SC,Sim,5.0,4.0,4,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3
Masculino,18-20,SI,Sim,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SI,Sim,4.0,3.0,3,3,4,4,3,3,4,4,5,3,3,3,4,4,3,4,4,4
Masculino,21-29,SI,Sim,4.0,2.0,4,2,2,4,4,4,3,2,3,3,2,2,3,2,2,3,3,3
Masculino,18-20,EMC,Sim,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,18-20,SI,Sim,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Feminino,21-29,SI,Sim,3.0,2.0,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4
Feminino,21-29,SI,Sim,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Feminino,40-49,PGC,Sim,3.0,3.0,3,2,2,3,3,3,3,4,2,2,2,2,4,4,3,2,3,3
Masculino,40-49,SC,Sim,3.0,4.0,2,3,2,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3
Feminino,21-29,SC,Sim,4.0,2.0,2,2,3,3,3,2,3,3,2,2,2,2,3,2,3,2,3,2
Masculino,18-20,EMC,Sim,3.0,1.0,3,3,4,3,4,1,1,4,4,3,4,4,4,2,3,4,3,4
Feminino,21-29,EMC,Sim,4.0,4.0,2,2,3,3,2,4,4,4,2,2,2,2,4,2,3,2,4,2
Feminino,40-49,SC,Sim,5.0,5.0,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
Feminino,50-59,PGC,Sim,5.0,3.0,2,2,2,2,2,3,2,5,2,2,2,2,5,2,3,2,4,2
Masculino,21-29,SC,Sim,5.0,5.0,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4
Masculino,21-29,SI,Sim,4.0,4.0,4,3,4,2,3,2,3,3,4,3,3,4,3,4,3,4,4,4
Masculino,21-29,SI,Sim,4.0,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SI,Sim,5.0,4.0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Masculino,21-29,SC,Sim,2.0,3.0,4,2,1,2,4,4,4,2,1,2,2,2,5,2,2,2,3,2
Feminino,60,PGC,Sim,3.0,4.0,4,4,4,4,4,3,3,4,4,3,2,4,5,5,4,2,4,3
Feminino,18-20,SI,Sim,2.0,2.0,4,3,3,3,3,4,4,4,4,3,3,4,4,5,4,4,4,4
