Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Feminino,50-59,PGC,Sim,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
Masculino,40-49,PGC,Nao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,40-49,SC,Nao,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0
Feminino,30-39,PGC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Masculino,50-59,SC,Nao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Feminino,30-39,PGC,Nao,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Masculino,30-39,SC,Sim,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
Masculino,50-59,SC,Nao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Feminino,50-59,EMC,Nao,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Feminino,50-59,EMC,Nao,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Feminino,50-59,EMC,Nao,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Feminino,40-49,PGC,Sim,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Masculino,40-49,SC,Sim,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Feminino,40-49,EMC,Nao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,30-39,SC,Nao,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Masculino,50-59,PGC,Nao,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Feminino,40-49,PGC,Nao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masculino,40-49,PGC,Nao,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Feminino,40-49,SC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,50-59,PGC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Masculino,40-49,PGC,Nao,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Masculino,30-39,PGC,Nao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,50-59,PGC,Nao,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,60,PGC,Sim,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
