Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q1,Q2,Q3,Q4,Q5,Q6
Feminino,21-29,SC,Sim,Neutro,Nao_Sei,Surpresa,Nao_Sei,Nao_Sei,Neutro
Masculino,21-29,PGC,Sim,Neutro,Neutro,Surpresa,Medo,Desgosto,Raiva
Feminino,18-20,EMI,Nao,Desgosto,Felicidade,Surpresa,Tristeza,Raiva,Medo
Feminino,50-59,PGC,Sim,Tristeza,Nao_Sei,Surpresa,Nao_Sei,Raiva,Nao_Sei
Masculino,40-49,PGC,Nao,Neutro,Neutro,Nao_Sei,Neutro,Neutro,Neutro
Feminino,21-29,SC,Sim,Neutro,Surpresa,Surpresa,Surpresa,Raiva,Desgosto
Feminino,21-29,SI,Sim,Surpresa,Felicidade,Surpresa,Desgosto,Raiva,Medo
Masculino,21-29,SC,Sim,Neutro,Felicidade,Surpresa,Neutro,Desgosto,Desgosto
Feminino,18-20,EMC,Sim,Neutro,Felicidade,Surpresa,Nao_Sei,Raiva,Desgosto
Feminino,21-29,SI,Sim,Medo,Felicidade,Surpresa,Surpresa,Raiva,Desgosto
Feminino,21-29,SI,Sim,Medo,Felicidade,Surpresa,Surpresa,Raiva,Desgosto
Feminino,21-29,SC,Sim,Neutro,Felicidade,Surpresa,Medo,Raiva,Desgosto
Feminino,21-29,SI,Nao,Neutro,Felicidade,Surpresa,Medo,Raiva,Desgosto
Masculino,21-29,SC,Sim,Neutro,Felicidade,Surpresa,Neutro,Desgosto,Neutro
Feminino,21-29,SC,Nao,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro
Feminino,18-20,SI,Nao,Nao_Sei,Felicidade,Surpresa,Medo,Raiva,Desgosto
Feminino,21-29,SC,Nao,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro
Feminino,21-29,SI,Sim,Neutro,Neutro,Surpresa,Neutro,Raiva,Nao_Sei
Feminino,18-20,EMC,Nao,Neutro,Felicidade,Surpresa,Nao_Sei,Nao_Sei,Desgosto
Feminino,21-29,SI,Nao,Nao_Sei,Felicidade,Neutro,Nao_Sei,Raiva,Nao_Sei
Masculino,18-20,SI,Sim,Nao_Sei,Felicidade,Surpresa,Surpresa,Desgosto,Raiva
Feminino,40-49,SC,Nao,Medo,Felicidade,Surpresa,Medo,Raiva,Desgosto
