Questao;_SEM_FILTRO;_Familiar_Sim;_Familiar_Nao;_Fem;_Masc;_Idade_Menor_30;_Idade_Maior_30;_Escolaridade_EMI_EMC_SI;_Escolaridade_SC_PGC
Q7_Macro_Felicidade;0,9315;0,9250;0,9394;0,9231;0,9412;0,9184;0,9583;0,9722;0,8919
Q8_Macro_Surpresa;0,9178;0,8750;0,9697;0,9744;0,8529;0,8980;0,9583;0,8889;0,9459
Q9_Macro_Tristeza;0,8082;0,8750;0,7273;0,8718;0,7353;0,8776;0,6667;0,8611;0,7568
Q10_Macro_Medo;0,2603;0,2500;0,2727;0,2564;0,2647;0,2653;0,2500;0,2778;0,2432
Q11_Macro_Raiva;0,8356;0,8250;0,8485;0,9231;0,7353;0,8163;0,8750;0,8611;0,8108
Q12_Macro_Medo;0,3014;0,3500;0,2424;0,3333;0,2647;0,3673;0,1667;0,3611;0,2432
Q13_Macro_Tristeza;0,6438;0,7000;0,5758;0,6410;0,6471;0,6939;0,5417;0,6389;0,6486
Q14_Macro_Surpresa;0,8767;0,9000;0,8485;0,9231;0,8235;0,9388;0,7500;0,9167;0,8378
Q15_Macro_Surpresa;0,9041;0,8750;0,9394;0,8974;0,9118;0,8776;0,9583;0,8611;0,9459
Q16_Macro_Felicidade;0,8630;0,8250;0,9091;0,8718;0,8529;0,8163;0,9583;0,7778;0,9459
Q17_Macro_Desgosto;0,4658;0,6250;0,2727;0,4103;0,5294;0,5510;0,2917;0,5278;0,4054
Q18_Macro_Raiva;0,7534;0,7500;0,7576;0,8462;0,6471;0,7551;0,7500;0,8333;0,6757
Q19_Macro_Medo;0,3425;0,4000;0,2727;0,3590;0,3235;0,3878;0,2500;0,4722;0,2162
Q20_Macro_Desgosto;0,4521;0,6250;0,2424;0,5128;0,3824;0,5306;0,2917;0,5000;0,4054
Q21_Macro_Felicidade;0,8219;0,8500;0,7879;0,8205;0,8235;0,8776;0,7083;0,8611;0,7838
Q22_Macro_Tristeza;0,7397;0,7750;0,6970;0,6410;0,8529;0,7755;0,6667;0,7500;0,7297
Q23_Macro_Medo;0,2466;0,3000;0,1818;0,2308;0,2647;0,2857;0,1667;0,3056;0,1892
Q24_Macro_Desgosto;0,3699;0,4500;0,2727;0,3846;0,3529;0,4286;0,2500;0,5556;0,1892
Q25_Macro_Surpresa;0,8904;0,9250;0,8485;0,8718;0,9118;0,9184;0,8333;0,8333;0,9459
Q26_Macro_Medo;0,2740;0,3000;0,2424;0,2308;0,3235;0,3061;0,2083;0,3611;0,1892
Med_Porcent;0,6349;0,6700;0,5924;0,6462;0,6221;0,6643;0,5750;0,6708;0,6000
Med_PosPos;0,8630;0,8625;0,8636;0,8590;0,8676;0,8776;0,8333;0,8611;0,8649
Med_PosNeg;0,8959;0,8900;0,9030;0,9128;0,8765;0,8980;0,8917;0,8778;0,9135
Med_NegNeg;0,4325;0,4929;0,3593;0,4139;0,4538;0,4810;0,3333;0,4881;0,3784
Med_NegPos;0,5776;0,6292;0,5152;0,6239;0,5245;0,6122;0,5069;0,6481;0,5090
