Questao;_SEM_FILTRO;_Familiar_Sim;_Familiar_Nao;_Fem;_Masc;_Idade_Menor_30;_Idade_Maior_30;_Escolaridade_EMI_EMC_SI;_Escolaridade_SC_PGC
Q7;0,03;0,05;0,00;0,00;0,06;0,04;0,00;0,03;0,03
Q8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Q9;0,07;0,10;0,03;0,08;0,06;0,06;0,08;0,08;0,05
Q10;0,16;0,23;0,09;0,15;0,18;0,20;0,08;0,25;0,08
Q11;0,14;0,12;0,15;0,18;0,09;0,18;0,04;0,19;0,08
Q12;0,10;0,12;0,06;0,08;0,12;0,12;0,04;0,11;0,08
Q13;0,19;0,20;0,18;0,26;0,12;0,24;0,08;0,28;0,11
Q14;0,11;0,07;0,15;0,15;0,06;0,06;0,21;0,11;0,11
Q15;0,22;0,25;0,18;0,15;0,29;0,22;0,21;0,22;0,22
Q16;0,18;0,17;0,18;0,31;0,03;0,20;0,12;0,25;0,11
Q17;0,18;0,25;0,09;0,13;0,24;0,16;0,21;0,17;0,19
Q18;0,19;0,17;0,21;0,10;0,29;0,24;0,08;0,25;0,14
Q19;0,26;0,35;0,15;0,21;0,32;0,27;0,25;0,28;0,24
Q20;0,19;0,30;0,06;0,21;0,18;0,22;0,12;0,17;0,22
Q21;0,42;0,53;0,30;0,49;0,35;0,43;0,42;0,56;0,30
Q22;0,11;0,07;0,15;0,18;0,03;0,06;0,21;0,17;0,05
Q23;0,08;0,12;0,03;0,03;0,15;0,08;0,08;0,08;0,08
Q24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Q25;0,11;0,10;0,12;0,13;0,09;0,08;0,17;0,08;0,14
Q26;0,10;0,10;0,09;0,00;0,21;0,10;0,08;0,11;0,08
