Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Você acha que ela está sentido algo mais ? Qual emoção?;Q8. Você acha que ela está sentido algo mais ? Qual emoção?;Q9. Você acha que ela está sentido algo mais ? Qual emoção?;Q10. Você acha que ela está sentido algo mais ? Qual emoção?;Q11. Você acha que ela está sentido algo mais ? Qual emoção?;Q12. Você acha que ela está sentido algo mais ? Qual emoção?;Q13. Você acha que ela está sentido algo mais ? Qual emoção?;Q14. Você acha que ela está sentido algo mais ? Qual emoção?;Q15. Você acha que ela está sentido algo mais ? Qual emoção?;Q16. Você acha que ela está sentido algo mais ? Qual emoção?;Q17. Você acha que ela está sentido algo mais ? Qual emoção?;Q18. Você acha que ela está sentido algo mais ? Qual emoção?;Q19. Você acha que ela está sentido algo mais ? Qual emoção?;Q20. Você acha que ela está sentido algo mais ? Qual emoção?;Q21. Você acha que ela está sentido algo mais ? Qual emoção?;Q22. Você acha que ela está sentido algo mais ? Qual emoção?;Q23. Você acha que ela está sentido algo mais ? Qual emoção?;Q24. Você acha que ela está sentido algo mais ? Qual emoção?;Q25. Você acha que ela está sentido algo mais ? Qual emoção?;Q26. Você acha que ela está sentido algo mais ? Qual emoção?
Feminino;21 até 29 anos;Superior Completo;Sim;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Desgosto;Desgosto;Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Surpresa
Masculino;21 até 29 anos;Pós-Graduação Completa;Sim;Desgosto;Surpresa;Tristeza;Medo;Raiva;Medo;Desgosto;Surpresa;Surpresa;Felicidade;Desgosto;Tristeza;Desgosto;Desgosto;Felicidade;Tristeza;Surpresa;Desgosto;Surpresa;Desgosto
Feminino;18 até 20 anos;Ensino Médio Incompleto;Não;Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Surpresa;Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Medo;Tristeza;Desgosto;Felicidade;Tristeza
Feminino;50 até 59 anos;Pós-Graduação Completa;Sim;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza;Tristeza;Surpresa;Felicidade;Tristeza;Nenhuma (não percebi nada a mais);Desgosto;Desgosto
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Eu não sei (eu percebi alguma coisa mas não sei o que);Medo;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;21 até 29 anos;Superior Completo;Sim;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Raiva;Medo;Surpresa;Raiva;Surpresa;Surpresa;Medo;Surpresa;Surpresa;Raiva;Tristeza;Surpresa;Desgosto;Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Sim;Felicidade;Surpresa;Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Raiva;Nenhuma (não percebi nada a mais);Felicidade;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Surpresa;Surpresa;Medo;Tristeza;Felicidade;Medo
Masculino;21 até 29 anos;Superior Completo;Sim;Felicidade;Surpresa;Tristeza;Surpresa;Surpresa;Surpresa;Tristeza;Surpresa;Felicidade;Surpresa;Desgosto;Desgosto;Desgosto;Surpresa;Surpresa;Surpresa;Surpresa;Desgosto;Surpresa;Surpresa
Feminino;18 até 20 anos;Ensino Médio Completo;Sim;Medo;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Desgosto;Nenhuma (não percebi nada a mais);Surpresa
Feminino;21 até 29 anos;Superior Incompleto;Sim;Medo;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Raiva;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Nenhuma (não percebi nada a mais);Surpresa;Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;21 até 29 anos;Superior Incompleto;Sim;Medo;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Raiva;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Nenhuma (não percebi nada a mais);Surpresa;Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;21 até 29 anos;Superior Completo;Sim;Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Surpresa;Felicidade;Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Raiva;Desgosto;Medo;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo
