Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q8. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q9. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q10. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q11. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q12. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q13. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q14. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q15. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q16. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q17. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q18. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q19. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q20. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q21. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q22. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q23. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q24. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q25. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q26. Qual o nível de carisma apresentado pelo personagem no vídeo?
Feminino;21 até 29 anos;Superior Completo;Sim;Muito carismático;Pouco carismático;Normal;Normal;Pouco carismático;Carismático;Normal;Pouco carismático;Normal;Normal;Carismático;Carismático;Pouco carismático;Carismático;Carismático;Pouco carismático;Pouco carismático;Carismático;Carismático;Normal
Masculino;21 até 29 anos;Pós-Graduação Completa;Sim;Pouco carismático;Normal;Sem carisma;Pouco carismático;Sem carisma;Pouco carismático;Normal;Carismático;Normal;Carismático;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Normal;Normal;Normal;Pouco carismático;Carismático;Pouco carismático
Feminino;18 até 20 anos;Ensino Médio Incompleto;Não;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;50 até 59 anos;Pós-Graduação Completa;Sim;Muito carismático;Normal;Carismático;Normal;Pouco carismático;Pouco carismático;Normal;Pouco carismático;Carismático;Normal;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Carismático;Normal;Normal;Pouco carismático;Pouco carismático;Pouco carismático
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Superior Completo;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;21 até 29 anos;Superior Incompleto;Sim;Normal;Normal;Carismático;Carismático;Normal;Carismático;Normal;Normal;Normal;Normal;Pouco carismático;Pouco carismático;Carismático;Carismático;Carismático;Carismático;Normal;Normal;Normal;Carismático
Masculino;21 até 29 anos;Superior Completo;Sim;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático
Feminino;18 até 20 anos;Ensino Médio Completo;Sim;Normal;Carismático;Normal;Normal;Carismático;Normal;Carismático;Carismático;Carismático;Carismático;Normal;Normal;Carismático;Carismático;Carismático;Carismático;Normal;Normal;Carismático;Normal
Feminino;21 até 29 anos;Superior Incompleto;Sim;Carismático;Carismático;Carismático;Normal;Carismático;Carismático;Carismático;Carismático;Carismático;Normal;Normal;Normal;Carismático;Normal;Normal;Carismático;Normal;Normal;Normal;Normal
