Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q1. Qual emoção foi apresentada no vídeo?;Q2. Qual emoção foi apresentada no vídeo?;Q3. Qual emoção foi apresentada no vídeo?;Q4. Qual emoção foi apresentada no vídeo?;Q5. Qual emoção foi apresentada no vídeo?;Q6. Qual emoção foi apresentada no vídeo?
Feminino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Surpresa;Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro
Masculino;21 até 29 anos;Pós-Graduação Completa;Sim;Apenas um rosto neutro;Apenas um rosto neutro;Surpresa;Medo;Desgosto;Raiva
Feminino;18 até 20 anos;Ensino Médio Incompleto;Não;Desgosto;Felicidade;Surpresa;Tristeza;Raiva;Medo
Feminino;50 até 59 anos;Pós-Graduação Completa;Sim;Tristeza;Não sei (percebi uma expressão, mas não sei qual);Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Não sei (percebi uma expressão mas não sei qual)
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Apenas um rosto neutro;Apenas um rosto neutro;Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro
Feminino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Surpresa;Surpresa;Surpresa;Raiva;Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Sim;Surpresa;Felicidade;Surpresa;Desgosto;Raiva;Medo
Masculino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Felicidade;Surpresa;Apenas um rosto neutro;Desgosto;Desgosto
Feminino;18 até 20 anos;Ensino Médio Completo;Sim;Apenas um rosto neutro;Felicidade;Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Sim;Medo;Felicidade;Surpresa;Surpresa;Raiva;Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Sim;Medo;Felicidade;Surpresa;Surpresa;Raiva;Desgosto
Feminino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Felicidade;Surpresa;Medo;Raiva;Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Não;Apenas um rosto neutro;Felicidade;Surpresa;Medo;Raiva;Desgosto
Masculino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Felicidade;Surpresa;Apenas um rosto neutro;Desgosto;Apenas um rosto neutro
Feminino;21 até 29 anos;Superior Completo;Não;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro
Feminino;18 até 20 anos;Superior Incompleto;Não;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Surpresa;Medo;Raiva;Desgosto
Feminino;21 até 29 anos;Superior Completo;Não;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro
Feminino;21 até 29 anos;Superior Incompleto;Sim;Apenas um rosto neutro;Apenas um rosto neutro;Surpresa;Apenas um rosto neutro;Raiva;Não sei (percebi uma expressão mas não sei qual)
Feminino;18 até 20 anos;Ensino Médio Completo;Não;Apenas um rosto neutro;Felicidade;Surpresa;Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Não;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Apenas um rosto neutro;Não sei (percebi uma expressão mas não sei qual);Raiva;Não sei (percebi uma expressão mas não sei qual)
Masculino;18 até 20 anos;Superior Incompleto;Sim;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Surpresa;Surpresa;Desgosto;Raiva
Feminino;40 até 49 anos;Superior Completo;Não;Medo;Felicidade;Surpresa;Medo;Raiva;Desgosto
Masculino;18 até 20 anos;Ensino Médio Incompleto;Sim;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Medo;Não sei (percebi uma expressão mas não sei qual);Raiva;Não sei (percebi uma expressão mas não sei qual)
Feminino;30 até 39 anos;Pós-Graduação Completa;Sim;Desgosto;Felicidade;Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Desgosto
Masculino;50 até 59 anos;Superior Completo;Não;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Felicidade;Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro
Masculino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Apenas um rosto neutro;Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Raiva;Apenas um rosto neutro
Masculino;21 até 29 anos;Pós-Graduação Completa;Sim;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Surpresa;Medo;Desgosto;Desgosto
Masculino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Raiva;Não sei (percebi uma expressão mas não sei qual)
Feminino;30 até 39 anos;Pós-Graduação Completa;Não;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Tristeza
Masculino;30 até 39 anos;Superior Completo;Sim;Apenas um rosto neutro;Surpresa;Surpresa;Desgosto;Raiva;Desgosto
